lane_id,lane_name,node_id,count_id,lat,lon,local_x,local_y,point_index,north_west_south_east,in_ring_out,projected_x,projected_y
4800,NorthRing,4940,8,43.47748111676,-80.54809965211,36547.1756,13939.6531,8,0,1,536547.1756002286,4813939.653058019
4800,NorthRing,4941,9,43.47748139692,-80.54810788501,36546.5096,13939.6806,9,0,1,536546.5095996575,4813939.680558519
4800,NorthRing,4942,10,43.47748106296,-80.54811611382,36545.8443,13939.6399,10,0,1,536545.8442999941,4813939.639858072
4800,NorthRing,4943,11,43.47748044352,-80.54812432992,36545.1802,13939.5675,11,0,1,536545.1802002907,4813939.567458488
4800,NorthRing,4944,12,43.47747929048,-80.54813241028,36544.5274,13939.4359,12,0,1,536544.527400064,4813939.435858104
4800,NorthRing,4945,13,43.47747782827,-80.54814040762,36543.8815,13939.27,13,0,1,536543.881500339,4813939.269958481
4800,NorthRing,4946,14,43.47747631372,-80.54814837815,36543.2378,13939.0983,14,0,1,536543.2378003702,4813939.098257921
4800,NorthRing,4947,15,43.47747455196,-80.54815622193,36542.6045,13938.8992,15,0,1,536542.604500193,4813938.899158451
4800,NorthRing,4948,16,43.47747278929,-80.54816406572,36541.9712,13938.7,16,0,1,536541.9711997176,4813938.699957971
4800,NorthRing,4801,17,43.47747102753,-80.54817191073,36541.3378,13938.5009,17,0,1,536541.3377999893,4813938.500858081
4800,NorthRing,4802,18,43.47746860367,-80.54818196409,36540.5262,13938.2273,18,0,1,536540.5261999588,4813938.227257796
4800,NorthRing,4803,19,43.47746617891,-80.54819201746,36539.7146,13937.9536,19,0,1,536539.7145995977,4813937.953557655
4800,NorthRing,4804,20,43.47746328583,-80.54820181836,36538.9237,13937.628,20,0,1,536538.9236997617,4813937.6279578125
4800,NorthRing,4805,21,43.47745980508,-80.5482112428,36538.1636,13937.2373,21,0,1,536538.1635999859,4813937.237257919
4800,NorthRing,4806,22,43.47745595779,-80.54822042391,36537.4234,13936.806,22,0,1,536537.4234001823,4813936.805957758
4800,NorthRing,4807,23,43.47745199845,-80.54822950323,36536.6915,13936.3623,23,0,1,536536.6915000189,4813936.362258321
4800,NorthRing,4808,24,43.47744777071,-80.54823833849,36535.9795,13935.8889,24,0,1,536535.9794997218,4813935.888858137
4800,NorthRing,4809,25,43.47744359986,-80.54824721412,36535.2642,13935.4218,25,0,1,536535.2642001405,4813935.421758394
4800,NorthRing,4792,26,43.47743952026,-80.54825616821,36534.5425,13934.9648,26,0,1,536534.5425000631,4813934.964758328
4800,NorthRing,4793,27,43.47743552785,-80.54826326074,36533.9713,13934.5183,27,0,1,536533.971300216,4813934.518258224
4800,NorthRing,4794,28,43.47743153634,-80.54827035203,36533.4002,13934.0719,28,0,1,536533.4002000353,4813934.071858665
4800,NorthRing,4795,29,43.47742732876,-80.54827722607,36532.8468,13933.6016,29,0,1,536532.8467999577,4813933.601558214
4800,NorthRing,4796,30,43.47742309677,-80.54828407556,36532.2954,13933.1286,30,0,1,536532.29539998,4813933.128557659
4800,NorthRing,4797,31,43.47741875056,-80.54829072806,36531.76,13932.643,31,0,1,536531.7600002235,4813932.642958551
4800,NorthRing,4798,32,43.47741359693,-80.54829608333,36531.33,13932.0683,32,0,1,536531.3299997682,4813932.06825832
4800,NorthRing,4799,33,43.47740803739,-80.54830080112,36530.9518,13931.4488,33,0,1,536530.9517997195,4813931.44875832
4800,NorthRing,4783,34,43.47740247875,-80.5483055189,36530.5736,13930.8294,34,0,1,536530.573599868,4813930.829358299
4614,NorthExit,4604,0,43.47748083661,-80.54809141922,36547.8416,13939.6256,0,0,2,536547.8415999901,4813939.6255586855
4614,NorthExit,4605,1,43.47748431102,-80.54809725426,36547.3676,13940.0089,1,0,2,536547.3675999301,4813940.008857922
4614,NorthExit,4606,2,43.47748778634,-80.54810309053,36546.8935,13940.3923,2,0,2,536546.8934998992,4813940.3922577165
4614,NorthExit,4607,3,43.47749126076,-80.54810892557,36546.4195,13940.7756,3,0,2,536546.419499941,4813940.775558128
4614,NorthExit,4608,4,43.47749490451,-80.54811454667,36545.9627,13941.1778,4,0,2,536545.9627002695,4813941.177757889
4614,NorthExit,4609,5,43.47749867818,-80.54812000359,36545.5191,13941.5945,5,0,2,536545.5191003255,4813941.594458364
4614,NorthExit,4610,6,43.47750245274,-80.54812545927,36545.0756,13942.0113,6,0,2,536545.0756001839,4813942.011258257
4614,NorthExit,4611,7,43.47750638126,-80.54813068382,36544.6507,13942.4453,7,0,2,536544.6506998258,4813942.445258072
4614,NorthExit,4612,8,43.47751038497,-80.54813579528,36544.2349,13942.8877,8,0,2,536544.2349003018,4813942.88765798
4614,NorthExit,4613,9,43.47751438778,-80.54814090676,36543.8191,13943.33,9,0,2,536543.8190997582,4813943.3299579555
4614,NorthExit,4594,10,43.47751839149,-80.54814601822,36543.4033,13943.7724,10,0,2,536543.403300343,4813943.772357917
4614,NorthExit,4595,11,43.47752332861,-80.54815354996,36542.7912,13944.3174,11,0,2,536542.7911996549,4813944.317358205
4614,NorthExit,4596,12,43.47752838839,-80.54816090519,36542.1933,13944.8761,12,0,2,536542.1933002959,4813944.876058359
